,quantity,average_trading_price,PNL,Profit_fulfillment_bool_trigger
INFY,1,1702.25,"[('2019-08-08', 'BOUGHT for', 788.75, 788.75, 1), ('2019-08-08', 'BUYING CHANCE! for', 788.75, 788.75, 1), ('2019-09-26', 'BUYING CHANCE! for', 782.55, 788.75, 1), ('2019-10-22', 'SOLD for', 643.55, 788.75, 'PNL: ', -18.41), ('2019-11-04', 'BOUGHT for', 709.0, 709.0, 1), ('2019-11-04', 'BUYING CHANCE! for', 709.0, 709.0, 1), ('2019-12-04', 'BOUGHT for', 708.85, 708.925, 2), ('2020-01-10', 'BUYING CHANCE! for', 738.15, 708.925, 2), ('2020-02-12', 'BUYING CHANCE! for', 781.05, 708.925, 2), ('2020-03-09', 'SOLD for', 704.45, 708.925, 'PNL: ', -0.63), ('2020-03-27', 'BOUGHT for', 652.7, 652.7, 1), ('2020-03-30', 'SOLD for', 626.7, 652.7, 'PNL: ', -3.98), ('2020-05-22', 'BOUGHT for', 692.35, 692.35, 1), ('2020-06-17', 'BUYING CHANCE! for', 703.65, 692.35, 1), ('2020-08-05', 'SOLD for', 944.7, 692.35, 'PNL: ', 36.4483281577237), ('2020-09-10', 'BOUGHT for', 940.05, 940.05, 1), ('2020-10-19', 'SOLD for', 1125.9, 940.05, 'PNL: ', 19.770224988032567), ('2020-11-06', 'BUYING CHANCE! for', 1112.75, 0, 0), ('2021-02-08', 'BUYING CHANCE! for', 1303.55, 0, 0), ('2021-05-07', 'BUYING CHANCE! for', 1352.55, 0, 0), ('2021-05-20', 'BUYING CHANCE! for', 1339.3, 0, 0), ('2021-07-22', 'BUYING CHANCE! for', 1590.2, 0, 0), ('2021-09-06', 'BUYING CHANCE! for', 1730.4, 0, 0), ('2021-09-16', 'BOUGHT for', 1702.25, 1702.25, 1), ('2021-09-16', 'BUYING CHANCE! for', 1702.25, 1702.25, 1), ('2021-11-10', 'BUYING CHANCE! for', 1740.15, 1702.25, 1), ('2021-12-02', 'BUYING CHANCE! for', 1748.25, 1702.25, 1), ('2021-12-03', 'BUYING CHANCE! for', 1735.55, 1702.25, 1), ('2021-12-08', 'BUYING CHANCE! for', 1753.35, 1702.25, 1), ('2022-01-12', 'BUYING CHANCE! for', 1877.45, 1702.25, 1)]",False
JSWSTEEL,0,0,"[('2019-04-30', 'BUYING CHANCE! for', 308.35, 0, 0), ('2019-05-27', 'BUYING CHANCE! for', 287.75, 0, 0), ('2019-06-21', 'BUYING CHANCE! for', 267.15, 0, 0), ('2019-12-17', 'BOUGHT for', 258.95, 258.95, 1), ('2019-12-17', 'BUYING CHANCE! for', 258.95, 258.95, 1), ('2020-01-24', 'BUYING CHANCE! for', 271.9, 258.95, 1), ('2020-02-05', 'BOUGHT for', 269.25, 264.1, 2), ('2020-02-28', 'SOLD for', 235.7, 264.1, 'PNL: ', -10.75), ('2020-09-29', 'BUYING CHANCE! for', 284.1, 0, 0), ('2021-02-03', 'BUYING CHANCE! for', 392.9, 0, 0), ('2021-03-12', 'BUYING CHANCE! for', 418.75, 0, 0), ('2021-06-02', 'BUYING CHANCE! for', 706.05, 0, 0), ('2021-06-28', 'BUYING CHANCE! for', 695.35, 0, 0), ('2021-07-07', 'BUYING CHANCE! for', 690.4, 0, 0), ('2021-09-09', 'BOUGHT for', 688.95, 688.95, 1), ('2021-09-09', 'BUYING CHANCE! for', 688.95, 688.95, 1), ('2021-09-20', 'SOLD for', 633.2, 688.95, 'PNL: ', -8.09), ('2021-09-22', 'BOUGHT for', 678.55, 678.55, 1), ('2021-10-27', 'BOUGHT for', 684.9, 681.7249999999999, 2), ('2021-11-09', 'BOUGHT for', 676.65, 680.0333333333333, 3), ('2021-11-09', 'BUYING CHANCE! for', 676.65, 680.0333333333333, 3), ('2021-11-23', 'BOUGHT for', 683.3, 680.8499999999999, 4), ('2021-11-23', 'BUYING CHANCE! for', 683.3, 680.8499999999999, 4), ('2021-11-29', 'SOLD for', 625.6, 680.8499999999999, 'PNL: ', -8.11), ('2021-12-03', 'BUYING CHANCE! for', 644.55, 0, 0), ('2021-12-06', 'BUYING CHANCE! for', 642.85, 0, 0), ('2022-01-13', 'BUYING CHANCE! for', 687.85, 0, 0)]",False
KOTAKBANK,0,0,"[('2019-03-12', 'BOUGHT for', 1263.35, 1263.35, 1), ('2019-03-12', 'BUYING CHANCE! for', 1263.35, 1263.35, 1), ('2019-06-20', 'BUYING CHANCE! for', 1518.35, 1263.35, 1), ('2019-06-27', 'BUYING CHANCE! for', 1481.6, 1263.35, 1), ('2019-07-04', 'BUYING CHANCE! for', 1497.8, 1263.35, 1), ('2019-07-22', 'SOLD for', 1454.3, 1263.35, 'PNL: ', 15.1145763248506), ('2019-08-08', 'BUYING CHANCE! for', 1502.75, 0, 0), ('2019-09-11', 'BUYING CHANCE! for', 1475.2, 0, 0), ('2019-11-08', 'BOUGHT for', 1600.25, 1600.25, 1), ('2019-11-08', 'BUYING CHANCE! for', 1600.25, 1600.25, 1), ('2020-01-13', 'BUYING CHANCE! for', 1691.1, 1600.25, 1), ('2020-03-12', 'SOLD for', 1465.05, 1600.25, 'PNL: ', -8.45), ('2020-07-20', 'BUYING CHANCE! for', 1319.05, 0, 0), ('2020-08-11', 'BOUGHT for', 1364.6, 1364.6, 1), ('2020-08-11', 'BUYING CHANCE! for', 1364.6, 1364.6, 1), ('2020-08-19', 'BUYING CHANCE! for', 1355.6, 1364.6, 1), ('2020-10-01', 'BUYING CHANCE! for', 1305.05, 1364.6, 1), ('2020-12-02', 'SOLD for', 1814.2, 1364.6, 'PNL: ', 32.947383848746895), ('2021-02-02', 'BUYING CHANCE! for', 1861.3, 0, 0), ('2021-04-16', 'BOUGHT for', 1764.1, 1764.1, 1), ('2021-04-16', 'BUYING CHANCE! for', 1764.1, 1764.1, 1), ('2021-04-26', 'BUYING CHANCE! for', 1759.65, 1764.1, 1), ('2021-05-24', 'BUYING CHANCE! for', 1757.0, 1764.1, 1), ('2021-07-06', 'BUYING CHANCE! for', 1755.35, 1764.1, 1), ('2021-07-26', 'BUYING CHANCE! for', 1740.6, 1764.1, 1), ('2021-07-27', 'BOUGHT for', 1697.95, 1731.025, 2), ('2021-08-04', 'BUYING CHANCE! for', 1749.95, 1731.025, 2), ('2021-09-01', 'BUYING CHANCE! for', 1746.65, 1731.025, 2), ('2021-10-04', 'SOLD for', 1990.95, 1731.025, 'PNL: ', 15.01566990655825), ('2021-10-13', 'BUYING CHANCE! for', 2009.35, 0, 0), ('2022-01-03', 'BUYING CHANCE! for', 1824.45, 0, 0)]",False
LT,0,0,"[('2019-02-01', 'BUYING CHANCE! for', 1324.6, 0, 0), ('2019-02-04', 'BUYING CHANCE! for', 1307.4, 0, 0), ('2019-02-20', 'BUYING CHANCE! for', 1276.55, 0, 0), ('2019-05-06', 'BUYING CHANCE! for', 1352.7, 0, 0), ('2019-06-21', 'BUYING CHANCE! for', 1539.75, 0, 0), ('2019-08-27', 'BUYING CHANCE! for', 1356.95, 0, 0), ('2019-09-06', 'BUYING CHANCE! for', 1328.65, 0, 0), ('2019-09-20', 'BUYING CHANCE! for', 1411.5, 0, 0), ('2019-10-18', 'BUYING CHANCE! for', 1447.8, 0, 0), ('2019-12-17', 'BUYING CHANCE! for', 1317.95, 0, 0), ('2020-01-23', 'BUYING CHANCE! for', 1332.3, 0, 0), ('2021-02-25', 'BOUGHT for', 1506.45, 1506.45, 1), ('2021-03-09', 'BOUGHT for', 1508.3, 1507.375, 2), ('2021-03-09', 'BUYING CHANCE! for', 1508.3, 1507.375, 2), ('2021-04-09', 'BUYING CHANCE! for', 1404.1, 1507.375, 2), ('2021-04-28', 'BUYING CHANCE! for', 1375.9, 1507.375, 2), ('2021-06-25', 'BUYING CHANCE! for', 1523.85, 1507.375, 2), ('2021-08-27', 'BUYING CHANCE! for', 1638.1, 1507.375, 2), ('2021-09-22', 'SOLD for', 1710.9, 1507.375, 'PNL: ', 13.501948751969488), ('2021-10-14', 'BUYING CHANCE! for', 1789.3, 0, 0), ('2021-12-09', 'BUYING CHANCE! for', 1879.8, 0, 0)]",False
M&M,1,919.65,"[('2020-08-27', 'BUYING CHANCE! for', 636.75, 0, 0), ('2020-08-28', 'BUYING CHANCE! for', 631.4, 0, 0), ('2020-09-16', 'BUYING CHANCE! for', 639.45, 0, 0), ('2020-09-30', 'BUYING CHANCE! for', 607.9, 0, 0), ('2020-11-06', 'BUYING CHANCE! for', 613.6, 0, 0), ('2020-12-17', 'BOUGHT for', 730.65, 730.65, 1), ('2020-12-18', 'BOUGHT for', 733.6, 732.125, 2), ('2020-12-24', 'BOUGHT for', 710.9, 725.0500000000001, 3), ('2021-02-02', 'BUYING CHANCE! for', 816.85, 725.0500000000001, 3), ('2021-02-19', 'SOLD for', 879.25, 725.0500000000001, 'PNL: ', 21.267498793186665), ('2021-03-04', 'BUYING CHANCE! for', 845.25, 0, 0), ('2021-03-09', 'BUYING CHANCE! for', 852.0, 0, 0), ('2021-04-15', 'BOUGHT for', 805.1, 805.1, 1), ('2021-05-04', 'SOLD for', 741.15, 805.1, 'PNL: ', -7.94), ('2021-05-11', 'BUYING CHANCE! for', 776.0, 0, 0), ('2021-05-18', 'BUYING CHANCE! for', 797.7, 0, 0), ('2021-06-25', 'BUYING CHANCE! for', 794.25, 0, 0), ('2021-07-06', 'BUYING CHANCE! for', 781.9, 0, 0), ('2021-07-15', 'BUYING CHANCE! for', 779.9, 0, 0), ('2021-08-03', 'BUYING CHANCE! for', 770.85, 0, 0), ('2021-09-23', 'BOUGHT for', 758.45, 758.45, 1), ('2021-10-20', 'SOLD for', 899.35, 758.45, 'PNL: ', 18.577361724569844), ('2021-11-10', 'BOUGHT for', 919.65, 919.65, 1), ('2021-11-10', 'BUYING CHANCE! for', 919.65, 919.65, 1), ('2021-12-16', 'BUYING CHANCE! for', 853.3, 919.65, 1), ('2021-12-17', 'BUYING CHANCE! for', 834.6, 919.65, 1), ('2021-12-29', 'BUYING CHANCE! for', 832.7, 919.65, 1)]",False
MARUTI,0,0,"[('2019-11-27', 'BUYING CHANCE! for', 7294.4, 0, 0), ('2019-12-13', 'BUYING CHANCE! for', 7214.95, 0, 0), ('2020-01-10', 'BUYING CHANCE! for', 7330.5, 0, 0), ('2020-02-05', 'BUYING CHANCE! for', 7040.9, 0, 0), ('2020-02-06', 'BUYING CHANCE! for', 7021.6, 0, 0), ('2020-02-11', 'BUYING CHANCE! for', 7033.75, 0, 0), ('2020-07-21', 'BUYING CHANCE! for', 6130.85, 0, 0), ('2020-09-30', 'BUYING CHANCE! for', 6743.45, 0, 0), ('2020-10-23', 'BUYING CHANCE! for', 7103.25, 0, 0), ('2020-11-18', 'BUYING CHANCE! for', 7054.3, 0, 0), ('2020-12-30', 'BUYING CHANCE! for', 7612.9, 0, 0), ('2021-02-04', 'BUYING CHANCE! for', 7640.0, 0, 0), ('2021-02-11', 'BUYING CHANCE! for', 7667.35, 0, 0), ('2021-03-08', 'BUYING CHANCE! for', 7259.5, 0, 0), ('2021-04-23', 'BUYING CHANCE! for', 6676.1, 0, 0), ('2021-04-26', 'BUYING CHANCE! for', 6638.9, 0, 0), ('2021-05-06', 'BUYING CHANCE! for', 6666.65, 0, 0), ('2021-06-22', 'BUYING CHANCE! for', 7265.4, 0, 0), ('2021-09-01', 'BUYING CHANCE! for', 6784.9, 0, 0), ('2021-09-24', 'BUYING CHANCE! for', 6952.25, 0, 0), ('2021-11-01', 'BUYING CHANCE! for', 7615.55, 0, 0), ('2021-12-13', 'BUYING CHANCE! for', 7516.4, 0, 0)]",False
NTPC,7,121.93571428571428,"[('2019-04-09', 'BOUGHT for', 135.9, 135.9, 1), ('2019-05-10', 'SOLD for', 127.0, 135.9, 'PNL: ', -6.55), ('2020-02-07', 'BOUGHT for', 115.6, 115.6, 1), ('2020-02-07', 'BUYING CHANCE! for', 115.6, 115.6, 1), ('2020-03-02', 'SOLD for', 103.9, 115.6, 'PNL: ', -10.12), ('2021-01-11', 'BUYING CHANCE! for', 99.0, 0, 0), ('2021-02-04', 'BUYING CHANCE! for', 99.05, 0, 0), ('2021-03-31', 'BOUGHT for', 106.55, 106.55, 1), ('2021-04-27', 'BOUGHT for', 102.05, 104.3, 2), ('2021-06-03', 'BOUGHT for', 111.8, 106.8, 3), ('2021-06-03', 'BUYING CHANCE! for', 111.8, 106.8, 3), ('2021-08-12', 'BOUGHT for', 119.15, 109.88749999999999, 4), ('2021-09-01', 'BUYING CHANCE! for', 115.4, 109.88749999999999, 4), ('2021-11-08', 'BOUGHT for', 140.3, 115.96999999999998, 5), ('2021-11-09', 'BOUGHT for', 138.5, 119.72499999999998, 6), ('2021-11-25', 'BOUGHT for', 135.2, 121.93571428571428, 7), ('2021-12-29', 'BUYING CHANCE! for', 123.15, 121.93571428571428, 7)]",True
NESTLEIND,0,0,"[('2019-01-09', 'BUYING CHANCE! for', 11252.25, 0, 0), ('2019-03-13', 'BUYING CHANCE! for', 10723.3, 0, 0), ('2019-05-20', 'BUYING CHANCE! for', 10768.15, 0, 0), ('2019-07-26', 'BUYING CHANCE! for', 11623.25, 0, 0), ('2019-11-26', 'BUYING CHANCE! for', 14524.4, 0, 0), ('2019-12-20', 'BUYING CHANCE! for', 14858.25, 0, 0), ('2020-03-04', 'BUYING CHANCE! for', 16541.5, 0, 0), ('2020-03-26', 'BUYING CHANCE! for', 14919.65, 0, 0), ('2020-05-29', 'BUYING CHANCE! for', 17540.8, 0, 0), ('2020-06-25', 'BUYING CHANCE! for', 16787.0, 0, 0), ('2020-09-03', 'BUYING CHANCE! for', 16393.75, 0, 0), ('2020-09-29', 'BUYING CHANCE! for', 15620.85, 0, 0), ('2020-10-20', 'BUYING CHANCE! for', 16252.55, 0, 0), ('2021-03-05', 'BUYING CHANCE! for', 16782.9, 0, 0), ('2021-05-10', 'BUYING CHANCE! for', 16787.3, 0, 0), ('2021-07-08', 'BUYING CHANCE! for', 17618.9, 0, 0), ('2021-10-18', 'BUYING CHANCE! for', 19438.45, 0, 0), ('2021-11-12', 'BUYING CHANCE! for', 19142.45, 0, 0), ('2021-12-22', 'BUYING CHANCE! for', 19190.6, 0, 0)]",False
ONGC,0,0,"[('2019-06-13', 'BOUGHT for', 168.95, 168.95, 1), ('2019-06-13', 'BUYING CHANCE! for', 168.95, 168.95, 1), ('2019-06-20', 'BOUGHT for', 172.0, 170.475, 2), ('2019-07-08', 'SOLD for', 152.4, 170.475, 'PNL: ', -10.6), ('2021-01-04', 'BOUGHT for', 96.95, 96.95, 1), ('2021-01-05', 'BOUGHT for', 94.95, 95.95, 2), ('2021-01-05', 'BUYING CHANCE! for', 94.95, 95.95, 2), ('2021-02-05', 'BUYING CHANCE! for', 97.65, 95.95, 2), ('2021-02-22', 'SOLD for', 106.3, 95.95, 'PNL: ', 10.786868160500255), ('2021-06-02', 'BOUGHT for', 117.75, 117.75, 1), ('2021-08-02', 'BOUGHT for', 117.1, 117.425, 2), ('2021-08-25', 'BOUGHT for', 115.65, 116.83333333333333, 3), ('2021-10-14', 'SOLD for', 159.05, 116.83333333333333, 'PNL: ', 36.134094151212565), ('2021-11-09', 'BOUGHT for', 156.65, 156.65, 1), ('2021-11-09', 'BUYING CHANCE! for', 156.65, 156.65, 1), ('2021-11-25', 'BOUGHT for', 155.1, 155.875, 2), ('2021-11-26', 'BOUGHT for', 147.1, 152.95000000000002, 3), ('2021-12-09', 'BUYING CHANCE! for', 147.35, 152.95000000000002, 3), ('2021-12-20', 'SOLD for', 134.0, 152.95000000000002, 'PNL: ', -12.39), ('2021-12-30', 'BUYING CHANCE! for', 140.5, 0, 0)]",False
POWERGRID,0,0,"[('2019-02-19', 'BOUGHT for', 179.45, 179.45, 1), ('2019-02-19', 'BUYING CHANCE! for', 179.45, 179.45, 1), ('2019-02-20', 'BUYING CHANCE! for', 181.8, 179.45, 1), ('2019-05-21', 'BUYING CHANCE! for', 183.95, 179.45, 1), ('2019-07-08', 'SOLD for', 201.25, 179.45, 'PNL: ', 12.148230704931741), ('2019-08-16', 'BOUGHT for', 211.15, 211.15, 1), ('2019-08-27', 'BOUGHT for', 206.55, 208.85000000000002, 2), ('2019-08-27', 'BUYING CHANCE! for', 206.55, 208.85000000000002, 2), ('2019-09-09', 'BUYING CHANCE! for', 202.9, 208.85000000000002, 2), ('2019-09-26', 'BUYING CHANCE! for', 199.25, 208.85000000000002, 2), ('2019-11-20', 'BOUGHT for', 196.1, 204.60000000000002, 3), ('2019-11-20', 'BUYING CHANCE! for', 196.1, 204.60000000000002, 3), ('2019-12-17', 'BUYING CHANCE! for', 188.05, 204.60000000000002, 3), ('2020-02-06', 'BUYING CHANCE! for', 192.9, 204.60000000000002, 3), ('2020-03-03', 'BOUGHT for', 191.7, 201.375, 4), ('2020-03-12', 'SOLD for', 166.1, 201.375, 'PNL: ', -17.52), ('2020-07-22', 'BOUGHT for', 179.65, 179.65, 1), ('2020-07-22', 'BUYING CHANCE! for', 179.65, 179.65, 1), ('2020-09-24', 'SOLD for', 159.35, 179.65, 'PNL: ', -11.3), ('2020-10-21', 'BOUGHT for', 163.75, 163.75, 1), ('2020-12-09', 'SOLD for', 192.7, 163.75, 'PNL: ', 17.679389312977094), ('2020-12-24', 'BOUGHT for', 190.0, 190.0, 1), ('2021-02-03', 'BOUGHT for', 206.5, 198.25, 2), ('2021-02-03', 'BUYING CHANCE! for', 206.5, 198.25, 2), ('2021-02-24', 'SOLD for', 222.75, 198.25, 'PNL: ', 12.35813366960908), ('2021-03-16', 'BOUGHT for', 224.45, 224.45, 1), ('2021-04-16', 'BUYING CHANCE! for', 209.85, 224.45, 1), ('2021-04-26', 'BUYING CHANCE! for', 215.8, 224.45, 1), ('2021-06-07', 'BUYING CHANCE! for', 236.25, 224.45, 1), ('2021-06-08', 'BUYING CHANCE! for', 234.05, 224.45, 1), ('2021-07-19', 'BUYING CHANCE! for', 233.15, 224.45, 1), ('2021-07-29', 'SOLD for', 167.4, 224.45, 'PNL: ', -25.42), ('2021-11-16', 'BUYING CHANCE! for', 187.6, 0, 0), ('2022-01-14', 'BUYING CHANCE! for', 207.75, 0, 0)]",False
RELIANCE,1,2441.5,"[('2019-03-06', 'BUYING CHANCE! for', 1264.8, 0, 0), ('2019-04-18', 'BUYING CHANCE! for', 1385.95, 0, 0), ('2019-04-22', 'BUYING CHANCE! for', 1345.35, 0, 0), ('2019-05-21', 'BUYING CHANCE! for', 1339.8, 0, 0), ('2019-07-04', 'BUYING CHANCE! for', 1284.0, 0, 0), ('2019-07-10', 'BUYING CHANCE! for', 1278.85, 0, 0), ('2019-08-13', 'BUYING CHANCE! for', 1274.75, 0, 0), ('2019-09-23', 'BUYING CHANCE! for', 1239.2, 0, 0), ('2020-01-13', 'BUYING CHANCE! for', 1543.7, 0, 0), ('2020-02-07', 'BUYING CHANCE! for', 1433.65, 0, 0), ('2020-06-01', 'BUYING CHANCE! for', 1520.35, 0, 0), ('2020-08-27', 'BUYING CHANCE! for', 2110.6, 0, 0), ('2020-10-09', 'BUYING CHANCE! for', 2233.45, 0, 0), ('2020-11-09', 'BUYING CHANCE! for', 2050.7, 0, 0), ('2020-12-08', 'BUYING CHANCE! for', 1993.75, 0, 0), ('2021-01-14', 'BUYING CHANCE! for', 1960.6, 0, 0), ('2021-02-10', 'BUYING CHANCE! for', 1974.3, 0, 0), ('2021-04-28', 'BUYING CHANCE! for', 1997.3, 0, 0), ('2021-05-18', 'BUYING CHANCE! for', 1987.95, 0, 0), ('2021-05-19', 'BOUGHT for', 1997.05, 1997.05, 1), ('2021-05-19', 'BUYING CHANCE! for', 1997.05, 1997.05, 1), ('2021-07-20', 'BUYING CHANCE! for', 2093.8, 1997.05, 1), ('2021-08-03', 'BUYING CHANCE! for', 2087.75, 1997.05, 1), ('2021-09-15', 'SOLD for', 2378.3, 1997.05, 'PNL: ', 19.090658721614393), ('2021-11-12', 'BUYING CHANCE! for', 2593.1, 0, 0), ('2021-11-29', 'BOUGHT for', 2441.5, 2441.5, 1), ('2021-11-29', 'BUYING CHANCE! for', 2441.5, 2441.5, 1), ('2021-12-23', 'BUYING CHANCE! for', 2365.25, 2441.5, 1)]",False
SBILIFE,5,1182.22,"[('2019-04-03', 'BUYING CHANCE! for', 601.95, 0, 0), ('2019-04-04', 'BUYING CHANCE! for', 594.7, 0, 0), ('2019-05-16', 'BUYING CHANCE! for', 630.95, 0, 0), ('2019-07-23', 'BOUGHT for', 775.95, 775.95, 1), ('2019-11-07', 'SOLD for', 986.45, 775.95, 'PNL: ', 27.128036600296408), ('2020-01-07', 'BUYING CHANCE! for', 984.9, 0, 0), ('2020-02-07', 'BUYING CHANCE! for', 947.3, 0, 0), ('2020-02-19', 'BUYING CHANCE! for', 938.2, 0, 0), ('2020-06-18', 'BUYING CHANCE! for', 771.6, 0, 0), ('2020-08-21', 'BUYING CHANCE! for', 861.25, 0, 0), ('2020-08-24', 'BUYING CHANCE! for', 860.85, 0, 0), ('2020-09-11', 'BOUGHT for', 864.4, 864.4, 1), ('2020-10-05', 'BOUGHT for', 824.95, 844.675, 2), ('2020-10-05', 'BUYING CHANCE! for', 824.95, 844.675, 2), ('2020-10-16', 'BUYING CHANCE! for', 799.55, 844.675, 2), ('2020-11-04', 'BUYING CHANCE! for', 791.0, 844.675, 2), ('2020-12-17', 'BOUGHT for', 856.35, 848.5666666666666, 3), ('2020-12-23', 'BOUGHT for', 854.95, 850.1624999999999, 4), ('2021-02-09', 'BUYING CHANCE! for', 888.7, 850.1624999999999, 4), ('2021-02-18', 'BUYING CHANCE! for', 893.5, 850.1624999999999, 4), ('2021-03-12', 'SOLD for', 914.2, 850.1624999999999, 'PNL: ', 7.532383514916283), ('2021-04-07', 'BUYING CHANCE! for', 918.5, 0, 0), ('2021-06-03', 'BUYING CHANCE! for', 986.85, 0, 0), ('2021-09-23', 'BOUGHT for', 1218.3, 1218.3, 1), ('2021-10-28', 'BOUGHT for', 1167.1, 1192.6999999999998, 2), ('2021-10-28', 'BUYING CHANCE! for', 1167.1, 1192.6999999999998, 2), ('2021-11-03', 'BOUGHT for', 1178.8, 1188.0666666666666, 3), ('2021-11-18', 'BOUGHT for', 1182.05, 1186.5625, 4), ('2021-12-01', 'BOUGHT for', 1164.85, 1182.22, 5), ('2021-12-01', 'BUYING CHANCE! for', 1164.85, 1182.22, 5), ('2021-12-27', 'BUYING CHANCE! for', 1161.95, 1182.22, 5)]",False
SHREECEM,0,0,"[('2019-01-24', 'BUYING CHANCE! for', 16170.55, 0, 0), ('2019-02-01', 'BUYING CHANCE! for', 15782.0, 0, 0), ('2019-02-21', 'BUYING CHANCE! for', 16104.65, 0, 0), ('2019-05-17', 'BUYING CHANCE! for', 19480.55, 0, 0), ('2019-06-21', 'BUYING CHANCE! for', 21154.4, 0, 0), ('2019-07-26', 'BUYING CHANCE! for', 21431.3, 0, 0), ('2019-09-12', 'BUYING CHANCE! for', 18582.05, 0, 0), ('2019-10-22', 'BUYING CHANCE! for', 19515.6, 0, 0), ('2019-11-20', 'BUYING CHANCE! for', 20289.95, 0, 0), ('2019-12-20', 'BUYING CHANCE! for', 20553.3, 0, 0), ('2020-02-04', 'BUYING CHANCE! for', 24485.4, 0, 0), ('2020-05-12', 'BUYING CHANCE! for', 19127.2, 0, 0), ('2020-05-21', 'BUYING CHANCE! for', 19251.15, 0, 0), ('2020-07-20', 'BUYING CHANCE! for', 22266.1, 0, 0), ('2020-08-05', 'BUYING CHANCE! for', 22103.9, 0, 0), ('2020-08-19', 'BUYING CHANCE! for', 22081.3, 0, 0), ('2020-09-29', 'BUYING CHANCE! for', 19834.65, 0, 0), ('2020-12-17', 'BUYING CHANCE! for', 24510.4, 0, 0), ('2020-12-30', 'BUYING CHANCE! for', 24599.95, 0, 0), ('2021-02-02', 'BUYING CHANCE! for', 26432.55, 0, 0), ('2021-03-23', 'BUYING CHANCE! for', 28312.2, 0, 0), ('2021-05-20', 'BUYING CHANCE! for', 27510.35, 0, 0), ('2021-05-27', 'BUYING CHANCE! for', 28066.05, 0, 0), ('2021-07-13', 'BUYING CHANCE! for', 28070.4, 0, 0), ('2021-10-27', 'BUYING CHANCE! for', 28107.75, 0, 0), ('2021-12-10', 'BUYING CHANCE! for', 26406.45, 0, 0)]",False
SBIN,0,0,"[('2019-02-08', 'BOUGHT for', 286.0, 286.0, 1), ('2019-02-15', 'SOLD for', 262.95, 286.0, 'PNL: ', -8.06), ('2019-03-01', 'BUYING CHANCE! for', 272.95, 0, 0), ('2019-05-13', 'BOUGHT for', 306.9, 306.9, 1), ('2019-06-06', 'SOLD for', 336.9, 306.9, 'PNL: ', 9.775171065493646), ('2019-06-21', 'BUYING CHANCE! for', 349.4, 0, 0), ('2019-10-18', 'BOUGHT for', 269.65, 269.65, 1), ('2019-12-05', 'SOLD for', 336.2, 269.65, 'PNL: ', 24.680140923419252), ('2019-12-16', 'BUYING CHANCE! for', 331.85, 0, 0), ('2020-01-10', 'BUYING CHANCE! for', 332.25, 0, 0), ('2020-02-06', 'BUYING CHANCE! for', 321.95, 0, 0), ('2021-02-01', 'BUYING CHANCE! for', 310.7, 0, 0), ('2021-04-01', 'BUYING CHANCE! for', 370.65, 0, 0), ('2021-04-27', 'BOUGHT for', 353.05, 353.05, 1), ('2021-06-11', 'SOLD for', 429.6, 353.05, 'PNL: ', 21.682481234952558), ('2021-06-23', 'BOUGHT for', 418.85, 418.85, 1), ('2021-06-23', 'BUYING CHANCE! for', 418.85, 418.85, 1), ('2021-07-27', 'BOUGHT for', 429.95, 424.4, 2), ('2021-08-31', 'BUYING CHANCE! for', 426.05, 424.4, 2), ('2021-09-27', 'BUYING CHANCE! for', 446.6, 424.4, 2), ('2021-11-01', 'SOLD for', 515.7, 424.4, 'PNL: ', 21.51272384542886), ('2021-12-08', 'BUYING CHANCE! for', 491.55, 0, 0)]",False
